index,name,parameter,power
167,spinarak,def,40
168,ariados,def,70
169,crobat,def,80
170,chinchou,def,38
171,lanturn,def,58
172,pichu,def,15
173,cleffa,def,28
174,igglybuff,def,15
175,togepi,def,65
176,togetic,def,85
177,natu,def,45
178,xatu,def,70
179,mareep,def,40
180,flaaffy,def,55
181,ampharos,def,85
182,bellossom,def,95
183,marill,def,50
184,azumarill,def,80
185,sudowoodo,def,115
186,politoed,def,75
187,hoppip,def,40
188,skiploom,def,50
189,jumpluff,def,70
190,aipom,def,55
191,sunkern,def,30
192,sunflora,def,55
193,yanma,def,45
194,wooper,def,45
195,quagsire,def,85
196,espeon,def,60
197,umbreon,def,110
198,murkrow,def,42
199,slowking,def,80
200,misdreavus,def,60
201,unown,def,48
202,wobbuffet,def,58
203,girafarig,def,65
204,pineco,def,90
205,forretress,def,140
206,dunsparce,def,70
207,gligar,def,105
208,steelix,def,200
209,snubbull,def,50
210,granbull,def,75
211,qwilfish,def,85
212,scizor,def,100
213,shuckle,def,230
214,heracross,def,75
215,sneasel,def,55
216,teddiursa,def,50
217,ursaring,def,75
218,slugma,def,40
219,magcargo,def,120
220,swinub,def,40
221,piloswine,def,80
222,corsola,def,95
223,remoraid,def,35
224,octillery,def,75
225,delibird,def,45
226,mantine,def,70
227,skarmory,def,140
228,houndour,def,30
229,houndoom,def,50
230,kingdra,def,95
231,phanpy,def,60
232,donphan,def,120
233,porygon2,def,90
234,stantler,def,62
235,smeargle,def,35
236,tyrogue,def,35
237,hitmontop,def,95
238,smoochum,def,15
239,elekid,def,37
240,magby,def,37
241,miltank,def,105
242,blissey,def,10
243,raikou,def,75
244,entei,def,85
245,suicune,def,115
246,larvitar,def,50
247,pupitar,def,70
248,tyranitar,def,110
249,lugia,def,130
250,ho-oh,def,90
251,celebi,def,100
252,treecko,def,35
253,grovyle,def,45
254,sceptile,def,65
255,torchic,def,40
256,combusken,def,60
257,blaziken,def,70
258,mudkip,def,50
259,marshtomp,def,70
260,swampert,def,90
261,poochyena,def,35
262,mightyena,def,70
263,zigzagoon,def,41
264,linoone,def,61
265,wurmple,def,35
266,silcoon,def,55
267,beautifly,def,50
268,cascoon,def,55
269,dustox,def,70
270,lotad,def,30
271,lombre,def,50
272,ludicolo,def,70
273,seedot,def,50
274,nuzleaf,def,40
275,shiftry,def,60
276,taillow,def,30
277,swellow,def,60
278,wingull,def,30
279,pelipper,def,100
280,ralts,def,25
281,kirlia,def,35
282,gardevoir,def,65
283,surskit,def,32
284,masquerain,def,62
285,shroomish,def,60
286,breloom,def,80
287,slakoth,def,60
288,vigoroth,def,80
289,slaking,def,100
290,nincada,def,90
291,ninjask,def,45
292,shedinja,def,45
293,whismur,def,23
294,loudred,def,43
295,exploud,def,63
296,makuhita,def,30
297,hariyama,def,60
298,azurill,def,40
299,nosepass,def,135
300,skitty,def,45
301,delcatty,def,65
302,sableye,def,75
303,mawile,def,85
304,aron,def,100
305,lairon,def,140
306,aggron,def,180
307,meditite,def,55
308,medicham,def,75
309,electrike,def,40
310,manectric,def,60
311,plusle,def,40
312,minun,def,50
313,volbeat,def,75
314,illumise,def,75
315,roselia,def,45
316,gulpin,def,53
317,swalot,def,83
318,carvanha,def,20
319,sharpedo,def,40
320,wailmer,def,35
321,wailord,def,45
322,numel,def,40
323,camerupt,def,70
324,torkoal,def,140
325,spoink,def,35
326,grumpig,def,65
327,spinda,def,60
328,trapinch,def,45
329,vibrava,def,50
330,flygon,def,80
331,cacnea,def,40
332,cacturne,def,60
333,swablu,def,60
334,altaria,def,90
335,zangoose,def,60
336,seviper,def,60
337,lunatone,def,65
338,solrock,def,85
339,barboach,def,43
340,whiscash,def,73
341,corphish,def,65
342,crawdaunt,def,85
343,baltoy,def,55
344,claydol,def,105
345,lileep,def,77
346,cradily,def,97
347,anorith,def,50
348,armaldo,def,100
349,feebas,def,20
350,milotic,def,79
351,castform,def,70
352,kecleon,def,70
353,shuppet,def,35
354,banette,def,65
355,duskull,def,90
356,dusclops,def,130
357,tropius,def,83
358,chimecho,def,80
359,absol,def,60
360,wynaut,def,48
361,snorunt,def,50
362,glalie,def,80
363,spheal,def,50
364,sealeo,def,70
365,walrein,def,90
366,clamperl,def,85
367,huntail,def,105
368,gorebyss,def,105
369,relicanth,def,130
370,luvdisc,def,55
371,bagon,def,60
372,shelgon,def,100
373,salamence,def,80
374,beldum,def,80
375,metang,def,100
376,metagross,def,130
377,regirock,def,200
378,regice,def,100
379,registeel,def,150
380,latias,def,90
381,latios,def,80
382,kyogre,def,90
383,groudon,def,140
384,rayquaza,def,90
385,jirachi,def,100
386,deoxys,def,50
387,turtwig,def,64
388,grotle,def,85
389,torterra,def,105
390,chimchar,def,44
391,monferno,def,52
392,infernape,def,71
393,piplup,def,53
394,prinplup,def,68
395,empoleon,def,88
396,starly,def,30
397,staravia,def,50
398,staraptor,def,70
399,bidoof,def,40
400,bibarel,def,60
401,kricketot,def,41
402,kricketune,def,51
403,shinx,def,34
404,luxio,def,49
405,luxray,def,79
406,budew,def,35
407,roserade,def,65
408,cranidos,def,40
409,rampardos,def,60
410,shieldon,def,118
411,bastiodon,def,168
412,burmy,def,45
413,wormadam,def,85
414,mothim,def,50
415,combee,def,42
416,vespiquen,def,102
417,pachirisu,def,70
418,buizel,def,35
419,floatzel,def,55
420,cherubi,def,45
421,cherrim,def,70
422,shellos,def,48
423,gastrodon,def,68
424,ambipom,def,66
425,drifloon,def,34
426,drifblim,def,44
427,buneary,def,44
428,lopunny,def,84
429,mismagius,def,60
430,honchkrow,def,52
431,glameow,def,42
432,purugly,def,64
433,chingling,def,50
434,stunky,def,47
435,skuntank,def,67
436,bronzor,def,86
437,bronzong,def,116
438,bonsly,def,95
439,mime-jr,def,45
440,happiny,def,5
441,chatot,def,45
442,spiritomb,def,108
443,gible,def,45
444,gabite,def,65
445,garchomp,def,95
446,munchlax,def,40
447,riolu,def,40
448,lucario,def,70
449,hippopotas,def,78
450,hippowdon,def,118
451,skorupi,def,90
452,drapion,def,110
453,croagunk,def,40
454,toxicroak,def,65
455,carnivine,def,72
456,finneon,def,56
457,lumineon,def,76
458,mantyke,def,50
459,snover,def,50
460,abomasnow,def,75
461,weavile,def,65
462,magnezone,def,115
463,lickilicky,def,95
464,rhyperior,def,130
465,tangrowth,def,125
466,electivire,def,67
467,magmortar,def,67
468,togekiss,def,95
469,yanmega,def,86
470,leafeon,def,130
471,glaceon,def,110
472,gliscor,def,125
473,mamoswine,def,80
474,porygon-z,def,70
475,gallade,def,65
476,probopass,def,145
477,dusknoir,def,135
478,froslass,def,70
479,rotom,def,77
480,uxie,def,130
481,mesprit,def,105
482,azelf,def,70
483,dialga,def,120
484,palkia,def,100
485,heatran,def,106
486,regigigas,def,110
487,giratina,def,120
488,cresselia,def,110
489,phione,def,80
490,manaphy,def,100
491,darkrai,def,90
492,shaymin,def,100
493,arceus,def,120
494,victini,def,100
495,snivy,def,55
496,servine,def,75
497,serperior,def,95
498,tepig,def,45
499,pignite,def,55
500,emboar,def,65
501,oshawott,def,45
502,dewott,def,60
503,samurott,def,85
504,patrat,def,39
505,watchog,def,69
506,lillipup,def,45
507,herdier,def,65
508,stoutland,def,90
509,purrloin,def,37
510,liepard,def,50
511,pansage,def,48
512,simisage,def,63
513,pansear,def,48
514,simisear,def,63
515,panpour,def,48
516,simipour,def,63
517,munna,def,45
518,musharna,def,85
519,pidove,def,50
520,tranquill,def,62
521,unfezant,def,80
522,blitzle,def,32
523,zebstrika,def,63
524,roggenrola,def,85
525,boldore,def,105
526,gigalith,def,130
527,woobat,def,43
528,swoobat,def,55
529,drilbur,def,40
530,excadrill,def,60
531,audino,def,86
532,timburr,def,55
533,gurdurr,def,85
534,conkeldurr,def,95
535,tympole,def,40
536,palpitoad,def,55
537,seismitoad,def,75
538,throh,def,85
539,sawk,def,75
540,sewaddle,def,70
541,swadloon,def,90
542,leavanny,def,80
543,venipede,def,59
544,whirlipede,def,99
545,scolipede,def,89
546,cottonee,def,60
547,whimsicott,def,85
548,petilil,def,50
549,lilligant,def,75
550,basculin,def,65
551,sandile,def,35
552,krokorok,def,45
553,krookodile,def,80
554,darumaka,def,45
555,darmanitan,def,55
556,maractus,def,67
557,dwebble,def,85
558,crustle,def,125
559,scraggy,def,70
560,scrafty,def,115
561,sigilyph,def,80
562,yamask,def,85
563,cofagrigus,def,145
564,tirtouga,def,103
565,carracosta,def,133
566,archen,def,45
567,archeops,def,65
568,trubbish,def,62
569,garbodor,def,82
570,zorua,def,40
571,zoroark,def,60
572,minccino,def,40
573,cinccino,def,60
574,gothita,def,50
575,gothorita,def,70
576,gothitelle,def,95
577,solosis,def,40
578,duosion,def,50
579,reuniclus,def,75
580,ducklett,def,50
581,swanna,def,63
582,vanillite,def,50
583,vanillish,def,65
584,vanilluxe,def,85
585,deerling,def,50
586,sawsbuck,def,70
587,emolga,def,60
588,karrablast,def,45
589,escavalier,def,105
590,foongus,def,45
591,amoonguss,def,70
592,frillish,def,50
593,jellicent,def,70
594,alomomola,def,80
595,joltik,def,50
596,galvantula,def,60
597,ferroseed,def,91
598,ferrothorn,def,131
599,klink,def,70
600,klang,def,95
601,klinklang,def,115
602,tynamo,def,40
603,eelektrik,def,70
604,eelektross,def,80
605,elgyem,def,55
606,beheeyem,def,75
607,litwick,def,55
608,lampent,def,60
609,chandelure,def,90
610,axew,def,60
611,fraxure,def,70
612,haxorus,def,90
613,cubchoo,def,40
614,beartic,def,80
615,cryogonal,def,50
616,shelmet,def,85
617,accelgor,def,40
618,stunfisk,def,84
619,mienfoo,def,50
620,mienshao,def,60
621,druddigon,def,90
622,golett,def,50
623,golurk,def,80
624,pawniard,def,70
625,bisharp,def,100
626,bouffalant,def,95
627,rufflet,def,50
628,braviary,def,75
629,vullaby,def,75
630,mandibuzz,def,105
631,heatmor,def,66
632,durant,def,112
633,deino,def,50
634,zweilous,def,70
635,hydreigon,def,90
636,larvesta,def,55
637,volcarona,def,65
638,cobalion,def,129
639,terrakion,def,90
640,virizion,def,72
641,tornadus,def,70
642,thundurus,def,70
643,reshiram,def,100
644,zekrom,def,120
645,landorus,def,90
646,kyurem,def,90
647,keldeo,def,90
648,meloetta,def,77
649,genesect,def,95
650,chespin,def,65
651,quilladin,def,95
652,chesnaught,def,122
653,fennekin,def,40
654,braixen,def,58
655,delphox,def,72
656,froakie,def,40
657,frogadier,def,52
658,greninja,def,67
659,bunnelby,def,38
660,diggersby,def,77
661,fletchling,def,43
662,fletchinder,def,55
663,talonflame,def,71
664,scatterbug,def,40
665,spewpa,def,60
666,vivillon,def,50
667,litleo,def,58
668,pyroar,def,72
669,flabebe,def,39
670,floette,def,47
671,florges,def,68
672,skiddo,def,48
673,gogoat,def,62
674,pancham,def,62
675,pangoro,def,78
676,furfrou,def,60
677,espurr,def,54
678,meowstic,def,76
679,honedge,def,100
680,doublade,def,150
681,aegislash,def,140
682,spritzee,def,60
683,aromatisse,def,72
684,swirlix,def,66
685,slurpuff,def,86
686,inkay,def,53
687,malamar,def,88
688,binacle,def,67
689,barbaracle,def,115
690,skrelp,def,60
691,dragalge,def,90
692,clauncher,def,62
693,clawitzer,def,88
694,helioptile,def,33
695,heliolisk,def,52
696,tyrunt,def,77
697,tyrantrum,def,119
698,amaura,def,50
699,aurorus,def,72
700,sylveon,def,65
701,hawlucha,def,75
702,dedenne,def,57
703,carbink,def,150
704,goomy,def,35
705,sliggoo,def,53
706,goodra,def,70
707,klefki,def,91
708,phantump,def,48
709,trevenant,def,76
710,pumpkaboo,def,70
711,gourgeist,def,122
712,bergmite,def,85
713,avalugg,def,184
714,noibat,def,35
715,noivern,def,80
716,xerneas,def,95
717,yveltal,def,95
718,zygarde,def,121
719,diancie,def,150
720,hoopa,def,60
721,volcanion,def,120
722,rowlet,def,55
723,dartrix,def,75
724,decidueye,def,75
725,litten,def,40
726,torracat,def,50
727,incineroar,def,90
728,popplio,def,54
729,brionne,def,69
730,primarina,def,74
731,pikipek,def,30
732,trumbeak,def,50
733,toucannon,def,75
734,yungoos,def,30
735,gumshoos,def,60
736,grubbin,def,45
737,charjabug,def,95
738,vikavolt,def,90
739,crabrawler,def,57
740,crabominable,def,77
741,oricorio,def,70
742,cutiefly,def,40
743,ribombee,def,60
744,rockruff,def,40
745,lycanroc,def,65
746,wishiwashi,def,20
747,mareanie,def,62
748,toxapex,def,152
749,mudbray,def,70
750,mudsdale,def,100
751,dewpider,def,52
752,araquanid,def,92
753,fomantis,def,35
754,lurantis,def,90
755,morelull,def,55
756,shiinotic,def,80
757,salandit,def,40
758,salazzle,def,60
759,stufful,def,50
760,bewear,def,80
761,bounsweet,def,38
762,steenee,def,48
763,tsareena,def,98
764,comfey,def,90
765,oranguru,def,80
766,passimian,def,90
767,wimpod,def,40
768,golisopod,def,140
769,sandygast,def,80
770,palossand,def,110
771,pyukumuku,def,130
772,type-null,def,95
773,silvally,def,95
774,minior,def,100
775,komala,def,65
776,turtonator,def,135
777,togedemaru,def,63
778,mimikyu,def,80
779,bruxish,def,70
780,drampa,def,85
781,dhelmise,def,100
782,jangmo-o,def,65
783,hakamo-o,def,90
784,kommo-o,def,125
785,tapu-koko,def,85
786,tapu-lele,def,75
787,tapu-bulu,def,115
788,tapu-fini,def,115
789,cosmog,def,31
790,cosmoem,def,131
791,solgaleo,def,107
792,lunala,def,89
793,nihilego,def,47
794,buzzwole,def,139
795,pheromosa,def,37
796,xurkitree,def,71
797,celesteela,def,103
798,kartana,def,131
799,guzzlord,def,53
800,necrozma,def,101
801,magearna,def,115
802,marshadow,def,80
803,poipole,def,67
804,naganadel,def,73
805,stakataka,def,211
806,blacephalon,def,53
807,zeraora,def,75
808,meltan,def,65
809,melmetal,def,143
810,grookey,def,50
811,thwackey,def,70
812,rillaboom,def,90
813,scorbunny,def,40
814,raboot,def,60
815,cinderace,def,75
816,sobble,def,40
817,drizzile,def,55
818,inteleon,def,65
819,skwovet,def,55
820,greedent,def,95
821,rookidee,def,35
822,corvisquire,def,55
823,corviknight,def,105
824,blipbug,def,20
825,dottler,def,80
826,orbeetle,def,110
827,nickit,def,28
828,thievul,def,58
829,gossifleur,def,60
830,eldegoss,def,90
831,wooloo,def,55
832,dubwool,def,100
833,chewtle,def,50
834,drednaw,def,90
835,yamper,def,50
836,boltund,def,60
837,rolycoly,def,50
838,carkol,def,90
839,coalossal,def,120
840,applin,def,80
841,flapple,def,80
842,appletun,def,80
843,silicobra,def,75
844,sandaconda,def,125
845,cramorant,def,55
846,arrokuda,def,40
847,barraskewda,def,60
848,toxel,def,35
849,toxtricity,def,70
850,sizzlipede,def,45
851,centiskorch,def,65
852,clobbopus,def,60
853,grapploct,def,90
854,sinistea,def,45
855,polteageist,def,65
856,hatenna,def,45
857,hattrem,def,65
858,hatterene,def,95
859,impidimp,def,30
860,morgrem,def,45
861,grimmsnarl,def,65
862,obstagoon,def,101
863,perrserker,def,100
864,cursola,def,50
865,sirfetchd,def,95
866,mr-rime,def,75
867,runerigus,def,145
868,milcery,def,40
869,alcremie,def,75
870,falinks,def,100
871,pincurchin,def,95
872,snom,def,35
873,frosmoth,def,60
874,stonjourner,def,135
875,eiscue,def,110
876,indeedee,def,55
877,morpeko,def,58
878,cufant,def,49
879,copperajah,def,69
880,dracozolt,def,90
881,arctozolt,def,90
882,dracovish,def,100
883,arctovish,def,100
884,duraludon,def,115
885,dreepy,def,30
886,drakloak,def,50
887,dragapult,def,75
888,zacian,def,115
889,zamazenta,def,115
890,eternatus,def,95
891,kubfu,def,60
892,urshifu,def,100
893,zarude,def,105
894,regieleki,def,50
895,regidrago,def,50
896,glastrier,def,130
897,spectrier,def,60
898,calyrex,def,80
899,wyrdeer,def,72
900,kleavor,def,95
901,ursaluna,def,105
902,basculegion,def,65
903,sneasler,def,60
904,overqwil,def,95
905,enamorus,def,70
906,sprigatito,def,54
907,floragato,def,63
908,meowscarada,def,70
909,fuecoco,def,59
910,crocalor,def,78
911,skeledirge,def,100
912,quaxly,def,45
913,quaxwell,def,65
914,quaquaval,def,80
915,lechonk,def,40
916,oinkologne,def,75
917,tarountula,def,45
918,spidops,def,92
919,nymble,def,40
920,lokix,def,78
921,pawmi,def,20
922,pawmo,def,40
923,pawmot,def,70
924,tandemaus,def,45
925,maushold,def,70
926,fidough,def,70
927,dachsbun,def,115
928,smoliv,def,45
929,dolliv,def,60
930,arboliva,def,90
931,squawkabilly,def,51
932,nacli,def,75
933,naclstack,def,100
934,garganacl,def,130
935,charcadet,def,40
936,armarouge,def,100
937,ceruledge,def,80
938,tadbulb,def,41
939,bellibolt,def,91
940,wattrel,def,35
941,kilowattrel,def,60
942,maschiff,def,60
943,mabosstiff,def,90
944,shroodle,def,35
945,grafaiai,def,65
946,bramblin,def,30
947,brambleghast,def,70
948,toedscool,def,35
949,toedscruel,def,65
950,klawf,def,115
951,capsakid,def,40
952,scovillain,def,65
953,rellor,def,60
954,rabsca,def,85
955,flittle,def,30
956,espathra,def,60
957,tinkatink,def,45
958,tinkatuff,def,55
959,tinkaton,def,77
960,wiglett,def,25
961,wugtrio,def,50
962,bombirdier,def,85
963,finizen,def,40
964,palafin,def,72
965,varoom,def,63
966,revavroom,def,90
967,cyclizar,def,65
968,orthworm,def,145
969,glimmet,def,42
970,glimmora,def,90
971,greavard,def,60
972,houndstone,def,100
973,flamigo,def,74
974,cetoddle,def,45
975,cetitan,def,65
976,veluza,def,73
977,dondozo,def,115
978,tatsugiri,def,60
979,annihilape,def,80
980,clodsire,def,60
981,farigiraf,def,70
982,dudunsparce,def,80
983,kingambit,def,120
984,great-tusk,def,131
985,scream-tail,def,99
986,brute-bonnet,def,99
987,flutter-mane,def,55
988,slither-wing,def,79
989,sandy-shocks,def,97
990,iron-treads,def,120
991,iron-bundle,def,114
992,iron-hands,def,108
993,iron-jugulis,def,86
994,iron-moth,def,60
995,iron-thorns,def,110
996,frigibax,def,45
997,arctibax,def,66
998,baxcalibur,def,92
999,gimmighoul,def,70
1000,gholdengo,def,95
1001,wo-chien,def,100
1002,chien-pao,def,80
1003,ting-lu,def,125
1004,chi-yu,def,80
1005,roaring-moon,def,71
1006,iron-valiant,def,90
1007,koraidon,def,115
1008,miraidon,def,100
1009,walking-wake,def,91
1010,iron-leaves,def,88
1011,dipplin,def,110
1012,poltchageist,def,45
1013,sinistcha,def,106
1014,okidogi,def,115
1015,munkidori,def,66
1016,fezandipiti,def,82
1017,ogerpon,def,84
1018,archaludon,def,130
1019,hydrapple,def,110
1020,gouging-fire,def,121
1021,raging-bolt,def,91
1022,iron-boulder,def,80
1023,iron-crown,def,100
1024,terapagos,def,85
1025,pecharunt,def,160
1,bulbasaur,spatk,65
2,ivysaur,spatk,80
3,venusaur,spatk,100
4,charmander,spatk,60
5,charmeleon,spatk,80
6,charizard,spatk,109
7,squirtle,spatk,50
8,wartortle,spatk,65
9,blastoise,spatk,85
10,caterpie,spatk,20
11,metapod,spatk,25
12,butterfree,spatk,90
13,weedle,spatk,20
14,kakuna,spatk,25
15,beedrill,spatk,45
16,pidgey,spatk,35
17,pidgeotto,spatk,50
18,pidgeot,spatk,70
19,rattata,spatk,25
20,raticate,spatk,50
21,spearow,spatk,31
22,fearow,spatk,61
23,ekans,spatk,40
24,arbok,spatk,65
25,pikachu,spatk,50
26,raichu,spatk,90
27,sandshrew,spatk,20
28,sandslash,spatk,45
29,nidoranf,spatk,40
30,nidorina,spatk,55
31,nidoqueen,spatk,75
32,nidoranm,spatk,40
33,nidorino,spatk,55
34,nidoking,spatk,85
35,clefairy,spatk,60
36,clefable,spatk,95
37,vulpix,spatk,50
38,ninetales,spatk,81
39,jigglypuff,spatk,45
40,wigglytuff,spatk,85
41,zubat,spatk,30
42,golbat,spatk,65
43,oddish,spatk,75
44,gloom,spatk,85
45,vileplume,spatk,110
46,paras,spatk,45
47,parasect,spatk,60
48,venonat,spatk,40
49,venomoth,spatk,90
50,diglett,spatk,35
51,dugtrio,spatk,50
52,meowth,spatk,40
53,persian,spatk,65
54,psyduck,spatk,65
55,golduck,spatk,95
56,mankey,spatk,35
57,primeape,spatk,60
58,growlithe,spatk,70
59,arcanine,spatk,100
60,poliwag,spatk,40
61,poliwhirl,spatk,50
62,poliwrath,spatk,70
63,abra,spatk,105
64,kadabra,spatk,120
65,alakazam,spatk,135
66,machop,spatk,35
67,machoke,spatk,50
68,machamp,spatk,65
69,bellsprout,spatk,70
70,weepinbell,spatk,85
71,victreebel,spatk,100
72,tentacool,spatk,50
73,tentacruel,spatk,80
74,geodude,spatk,30
75,graveler,spatk,45
76,golem,spatk,55
77,ponyta,spatk,65
78,rapidash,spatk,80
79,slowpoke,spatk,40
80,slowbro,spatk,100
81,magnemite,spatk,95
82,magneton,spatk,120
83,farfetchd,spatk,58
84,doduo,spatk,35
85,dodrio,spatk,60
86,seel,spatk,45
87,dewgong,spatk,70
88,grimer,spatk,40
89,muk,spatk,65
90,shellder,spatk,45
91,cloyster,spatk,85
92,gastly,spatk,100
93,haunter,spatk,115
94,gengar,spatk,130
95,onix,spatk,30
96,drowzee,spatk,43
97,hypno,spatk,73
98,krabby,spatk,25
99,kingler,spatk,50
100,voltorb,spatk,55
101,electrode,spatk,80
102,exeggcute,spatk,60
103,exeggutor,spatk,125
104,cubone,spatk,40
105,marowak,spatk,50
106,hitmonlee,spatk,35
107,hitmonchan,spatk,35
108,lickitung,spatk,60
109,koffing,spatk,60
110,weezing,spatk,85
111,rhyhorn,spatk,30
112,rhydon,spatk,45
113,chansey,spatk,35
114,tangela,spatk,100
115,kangaskhan,spatk,40
116,horsea,spatk,70
117,seadra,spatk,95
118,goldeen,spatk,35
119,seaking,spatk,65
120,staryu,spatk,70
121,starmie,spatk,100
122,mr-mime,spatk,100
123,scyther,spatk,55
124,jynx,spatk,115
125,electabuzz,spatk,95
126,magmar,spatk,100
127,pinsir,spatk,55
128,tauros,spatk,40
129,magikarp,spatk,15
130,gyarados,spatk,60
131,lapras,spatk,85
132,ditto,spatk,48
133,eevee,spatk,45
134,vaporeon,spatk,110
135,jolteon,spatk,110
136,flareon,spatk,95
137,porygon,spatk,85
138,omanyte,spatk,90
139,omastar,spatk,115
140,kabuto,spatk,55
141,kabutops,spatk,65
142,aerodactyl,spatk,60
143,snorlax,spatk,65
144,articuno,spatk,95
145,zapdos,spatk,125
146,moltres,spatk,125
147,dratini,spatk,50
148,dragonair,spatk,70
149,dragonite,spatk,100
150,mewtwo,spatk,154
151,mew,spatk,100
152,chikorita,spatk,49
153,bayleef,spatk,63
154,meganium,spatk,83
155,cyndaquil,spatk,60
156,quilava,spatk,80
157,typhlosion,spatk,109
158,totodile,spatk,44
159,croconaw,spatk,59
160,feraligatr,spatk,79
161,sentret,spatk,35
162,furret,spatk,45
163,hoothoot,spatk,36
164,noctowl,spatk,86
165,ledyba,spatk,40
166,ledian,spatk,55
167,spinarak,spatk,40
168,ariados,spatk,60
169,crobat,spatk,70
170,chinchou,spatk,56
171,lanturn,spatk,76
172,pichu,spatk,35
173,cleffa,spatk,45
174,igglybuff,spatk,40
175,togepi,spatk,40
176,togetic,spatk,80
177,natu,spatk,70
178,xatu,spatk,95
179,mareep,spatk,65
180,flaaffy,spatk,80
181,ampharos,spatk,115
182,bellossom,spatk,90
183,marill,spatk,20
184,azumarill,spatk,60
185,sudowoodo,spatk,30
186,politoed,spatk,90
187,hoppip,spatk,35
188,skiploom,spatk,45
189,jumpluff,spatk,55
190,aipom,spatk,40
191,sunkern,spatk,30
192,sunflora,spatk,105
193,yanma,spatk,75
194,wooper,spatk,25
195,quagsire,spatk,65
196,espeon,spatk,130
197,umbreon,spatk,60
198,murkrow,spatk,85
199,slowking,spatk,100
200,misdreavus,spatk,85
201,unown,spatk,72
202,wobbuffet,spatk,33
203,girafarig,spatk,90
204,pineco,spatk,35
205,forretress,spatk,60
206,dunsparce,spatk,65
207,gligar,spatk,35
208,steelix,spatk,55
209,snubbull,spatk,40
210,granbull,spatk,60
211,qwilfish,spatk,55
212,scizor,spatk,55
213,shuckle,spatk,10
214,heracross,spatk,40
215,sneasel,spatk,35
216,teddiursa,spatk,50
217,ursaring,spatk,75
218,slugma,spatk,70
219,magcargo,spatk,90
220,swinub,spatk,30
221,piloswine,spatk,60
222,corsola,spatk,65
223,remoraid,spatk,65
224,octillery,spatk,105
225,delibird,spatk,65
226,mantine,spatk,80
227,skarmory,spatk,40
228,houndour,spatk,80
229,houndoom,spatk,110
230,kingdra,spatk,95
231,phanpy,spatk,40
232,donphan,spatk,60
233,porygon2,spatk,105
234,stantler,spatk,85
235,smeargle,spatk,20
236,tyrogue,spatk,35
237,hitmontop,spatk,35
238,smoochum,spatk,85
239,elekid,spatk,65
240,magby,spatk,70
241,miltank,spatk,40
242,blissey,spatk,75
243,raikou,spatk,115
244,entei,spatk,90
245,suicune,spatk,90
246,larvitar,spatk,45
247,pupitar,spatk,65
248,tyranitar,spatk,95
249,lugia,spatk,90
250,ho-oh,spatk,110
251,celebi,spatk,100
252,treecko,spatk,65
253,grovyle,spatk,85
254,sceptile,spatk,105
255,torchic,spatk,70
256,combusken,spatk,85
257,blaziken,spatk,110
258,mudkip,spatk,50
259,marshtomp,spatk,60
260,swampert,spatk,85
261,poochyena,spatk,30
262,mightyena,spatk,60
263,zigzagoon,spatk,30
264,linoone,spatk,50
265,wurmple,spatk,20
266,silcoon,spatk,25
267,beautifly,spatk,100
268,cascoon,spatk,25
269,dustox,spatk,50
270,lotad,spatk,40
271,lombre,spatk,60
272,ludicolo,spatk,90
273,seedot,spatk,30
274,nuzleaf,spatk,60
275,shiftry,spatk,90
276,taillow,spatk,30
277,swellow,spatk,75
278,wingull,spatk,55
279,pelipper,spatk,95
280,ralts,spatk,45
281,kirlia,spatk,65
282,gardevoir,spatk,125
283,surskit,spatk,50
284,masquerain,spatk,100
285,shroomish,spatk,40
286,breloom,spatk,60
287,slakoth,spatk,35
288,vigoroth,spatk,55
289,slaking,spatk,95
290,nincada,spatk,30
291,ninjask,spatk,50
292,shedinja,spatk,30
293,whismur,spatk,51
294,loudred,spatk,71
295,exploud,spatk,91
296,makuhita,spatk,20
297,hariyama,spatk,40
298,azurill,spatk,20
299,nosepass,spatk,45
300,skitty,spatk,35
301,delcatty,spatk,55
302,sableye,spatk,65
303,mawile,spatk,55
304,aron,spatk,40
305,lairon,spatk,50
306,aggron,spatk,60
307,meditite,spatk,40
308,medicham,spatk,60
309,electrike,spatk,65
310,manectric,spatk,105
311,plusle,spatk,85
312,minun,spatk,75
313,volbeat,spatk,47
314,illumise,spatk,73
315,roselia,spatk,100
316,gulpin,spatk,43
317,swalot,spatk,73
318,carvanha,spatk,65
319,sharpedo,spatk,95
320,wailmer,spatk,70
321,wailord,spatk,90
322,numel,spatk,65
323,camerupt,spatk,105
324,torkoal,spatk,85
325,spoink,spatk,70
326,grumpig,spatk,90
327,spinda,spatk,60
328,trapinch,spatk,45
329,vibrava,spatk,50
330,flygon,spatk,80
331,cacnea,spatk,85
332,cacturne,spatk,115
333,swablu,spatk,40
334,altaria,spatk,70
335,zangoose,spatk,60
336,seviper,spatk,100
337,lunatone,spatk,95
338,solrock,spatk,55
339,barboach,spatk,46
340,whiscash,spatk,76
341,corphish,spatk,50
342,crawdaunt,spatk,90
343,baltoy,spatk,40
344,claydol,spatk,70
345,lileep,spatk,61
346,cradily,spatk,81
347,anorith,spatk,40
348,armaldo,spatk,70
349,feebas,spatk,10
350,milotic,spatk,100
351,castform,spatk,70
352,kecleon,spatk,60
353,shuppet,spatk,63
354,banette,spatk,83
355,duskull,spatk,30
356,dusclops,spatk,60
357,tropius,spatk,72
358,chimecho,spatk,95
359,absol,spatk,75
360,wynaut,spatk,23
361,snorunt,spatk,50
362,glalie,spatk,80
363,spheal,spatk,55
364,sealeo,spatk,75
